题干,选项A,选项B,选项C,选项D,正确选项,解析,难度,来源,来源说明,内容状态,校审状态,校审备注,题目ID
小谪陈芳现在身，人间何事敝精神。幔亭仙客休相待，______要此人。★清·黄景仁《两当轩集·十四·岁暮怀人》,八百孤寒,白圭之玷,棒打鸳鸯,避强打弱,A,释义：八百形容很多；孤寒指贫寒的读书人。形容人数众多，处境贫寒的读书人。也比喻贫寒之士失去依靠。。原始资料成语：八百孤寒。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-105
今日在圣贤炉前成了______，有福同享，有马同骑。★清·李绿园《歧路灯》第二十回,白虹贯日,八拜之交,包办代替,避强击弱,B,释义：八拜原指古代世交子弟谒见长辈的礼节；交友谊。旧时朋友结为兄弟的关系。。原始资料成语：八拜之交。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-106
而今须是要打破那黑底虚静，换做个白底虚静，则______，无不融通。★《朱子语类》卷一百,白驹过隙,包藏祸心,八窗玲珑,避实就虚,C,释义：①指四壁窗户轩敞，室内通彻明亮。②比喻通达明澈的修养境界。。原始资料成语：八窗玲珑。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-107
中国申办奥运的计划一提出，立即八方呼应，群情激奋，最恰当的成语是______。,白龙鱼服,包罗万象,避重就轻,八方呼应,D,释义：呼应彼此声气相通。泛指周围、各地。形容各方面互通声气，互相配合。。原始资料成语：八方呼应。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-108
原来宝廷的为人，是______，却十分落拓。★清·曾朴《孽海花》第七回,八面玲珑,白面书生,褒贬与夺,髀肉复生,A,释义：玲珑精巧细致，指人灵活、敏捷。本指窗户明亮轩敞◇用来形容人处世圆滑，待人接物面面俱到。。原始资料成语：八面玲珑。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-109
年龄不到五十许，体态虽十分端丽，神情却八面威风。★清·曾朴《孽海花》第十二回，最恰当的成语是______。,白日飞升,八面威风,褒善贬恶,璧合珠连,B,释义：威风令人敬畏的气势。各个方面都很威风。形容神气足，声势盛。。原始资料成语：八面威风。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-110
______颠倒想，与君同付醉眠中。★宋·陆游《醉歌》,白日见鬼,褒衣博带,八万四千,鞭不及腹,C,释义：本为佛教表示事物众多的数字，后用以形容极多。。原始资料成语：八万四千。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-111
说得好，咱们就______吧！★老舍《茶馆》第一幕,白日升天,薄寒中人,鞭辟近里,八仙过海,D,释义：相传八仙过海时不用舟船，各有一套法术。民间因有八仙过海，各显神通”的谚语◇以比喻各自拿出本领或办法，互相竞赛。。原始资料成语：八仙过海。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-112
又有谓大八音匣者，与衣厢等。触其机，______，恍如有十数人弹唱焉。★清·淮阴百一居士《壶天录》卷中,八音迭奏,白色恐怖,宝山空回,鞭辟入里,A,释义：八音古代对乐器的统称；迭交互，轮流。八类乐器轮番演奏。表示器乐齐全，演奏场面盛大。。原始资料成语：八音迭奏。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-113
奉梓南归四载迟，______寄哀思。★柳亚子《中山先生奉安大典志哀》,白手起家,八音遏密,饱经风霜,鞭长莫及,B,释义：遏阻止；密寂静。各种乐器停止演奏，乐声寂静。旧指皇帝死后停乐举哀◇也用以形容国家元首之死。。原始资料成语：八音遏密。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-114
这事已______，请大家多提建议。,白首穷经,饱食暖衣,八字打开,变本加厉,C,释义：象八”字那样，撇、捺向两边分开。原意是放着正路不走，却走歪门邪道。也形容门路很宽。。原始资料成语：八字打开。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-115
他______地说不了几句。,白首同归,饱食终日,变化无常,巴巴结结,D,释义：①勉强，凑合。②勤恳；辛劳。③形容说话不流利。。原始资料成语：巴巴结结。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-116
张寅道晚生末学，‘______’之词只好涂饰闾里，怎敢陈于老太师山斗之下。”★《平山冷燕》第十七回,巴人下里,白叟黄童,保残守缺,变生不测,A,释义：①即下里巴人。古代楚国流行的民间歌曲。用以称流俗的音乐。巴，古国名，在今四川东部一带，古为楚地。下里，乡里。②泛指粗俗的。。原始资料成语：巴人下里。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-117
这也是个好办法，而且简单易行，不过还不是______之计。★郭沫若《郑成功》第五章,白天见鬼,拔本塞源,报李投桃,便宜从事,B,释义：本根本，根源。拔起树根，塞住水源。比喻防患除害要从根本上打主意。。原始资料成语：拔本塞源。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-118
曾不能______，扬芳飞文，登天庭，序彝伦，扫六合之秽。★汉·蔡邕《释诲》,白头如新,抱布贸丝,拔萃出群,便宜施行,C,释义：拔超出。萃原谓草丛生的样子，引伸为聚集，指聚集在一处的人或物。超出一般，在众人之上。。原始资料成语：拔萃出群。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-119
那悬崖之上，一株株苍松翠柏______，傲然屹立。,白头偕老,抱残守缺,便宜行事,拔地倚天,D,释义：拔突出，耸出。倚倚傍，贴近。从地面突兀而起，贴近天际。比喻高大突出，气势雄伟。。原始资料成语：拔地倚天。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-120
少顷，以足床来，置地上，促客坐；又入，携短足几至，______，蹀躞甚劳。★清·蒲松龄《聊斋志异·阿纤》,拔来报往,白雪阳春,抱残守阙,辨物居方,A,释义：报通赴”，迅速≤快地来，很快地去。形容频繁地奔来奔去。。原始资料成语：拔来报往。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-121
袁既病死，黎、段登台，______，弹冠相庆，徐遂入任为院秘书长。★蔡东藩、许廑父《民国通俗演义》第七十九回,白衣苍狗,拔茅连茹,抱成一团,辩才无碍,B,释义：茅白茅，一种多年生的草；茹植物根部互相牵连的样子。比喻互相推荐，用一个人就连带引进许多人。。原始资料成语：拔茅连茹。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-122
那种不顾学生能否接受的填鸭式的教学方法，无异于______。,白衣卿相,抱打不平,拔苗助长,标新立异,C,释义：比喻违反事物发展的客观规律，急于求成，反而坏事。。原始资料成语：拔苗助长。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-123
则______之雄，几乎其为若敖之鬼矣。★明·张岱《募造无主祠堂疏》,白云苍狗,抱负不凡,标新领异,拔山盖世,D,释义：盖世超越天下人，世上第一。力能拔掉大山，形容力大勇猛，当代无比。。原始资料成语：拔山盖世。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-124
汉祖入关破秦而楚后之______，力大过人。★宋·邵雍《皇极经世绪言》第二卷,拔山扛鼎,百般折磨,抱关击柝,标枝野鹿,A,释义：扛双手举起。拔起大山，举起重鼎。形容力气很大。。原始资料成语：拔山扛鼎。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-125
谓______而可得其半，故匿瑕含垢而求其长致。★宋陈师道《谢胡运使启》,百弊丛生,拔十得五,抱恨终天,表里如一,B,释义：拔盐，推荐。想盐十个，结果只选得五个。指盐人才不容易。。原始资料成语：拔十得五。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-126
公风神英迈，意气倾倒，______之谈，登峰造极之理，萧然如晋、宋间人物。★宋·杨万里《石湖先生大资参政范公文集序》,百不失一,抱火厝薪,拔新领异,别出机杼,C,释义：拔抽出；新新意；领具有；异指独特之处。指创立新意，提出独特的见解。。原始资料成语：拔新领异。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-127
生曰得卿如此，吾何忧！顾念一人得道，______。余将远逝，一切付之于卿。”★清薄松龄《聊斋志异·白于玉》,百步穿杨,抱火卧薪,别出心裁,拔宅飞升,D,释义：拔拔起；宅住宅。古代传说修道的人全家同升仙界。参见拔宅上升”。。原始资料成语：拔宅飞升。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-128
秋先，汝功行圆满，吾已申奏上帝，有旨封汝为护花使者，专管人间百花。令汝______。★明·冯梦龙《醒世恒言》卷四,拔宅上升,百尺竿头,抱头鼠窜,别具肺肠,A,释义：拔拔起；宅住宅。古代传说修道的人全家同升仙界。。原始资料成语：拔宅上升。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-129
无事之时，望影藏匿，______，日不聊生。★清·纪昀《阅微草堂笔记·滦阳续录,百川赴海,跋前踬后,豹死留皮,别具慧眼,B,释义：跋踩；踬被绊倒。本指狼向前进就踩住了自己的颈肉，向后退又会被自己的尾巴绊倒。比喻进退两难。。原始资料成语：跋前踬后。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-130
同样的青春，同样的年龄，有人______，为改变祖国一穷二白的面貌而感到莫大的幸福。★魏巍《路标》,百读不厌,鲍鱼之肆,跋山涉水,别具匠心,C,释义：跋山翻过山岭；涉水用脚趟着水渡过大河。翻山越岭，趟水过河。形容走远路的艰苦。。原始资料成语：跋山涉水。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-131
人人善念看经，个个______。★明·无名氏《万国来朝》第一折,百发百中,暴风骤雨,别具只眼,把素持斋,D,释义：把遵守。斋斋戒。指信佛者遵守吃素，坚持戒律。。原始资料成语：把素持斋。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-132
……只认朗诵词和诗。笔者却不能够赞成这______”的作风★朱自清《论朗诵诗》,罢黜百家,百废具举,暴虎冯河,别开生面,A,释义：罢黜废弃不用。原指排除诸子杂说，专门推行儒家学说。也比喻只要一种形式，不要其他形式。。原始资料成语：罢黜百家。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-133
不是有一出戏叫《______》吗？这些同志如果总是不改，难免有一天要别姬”就是了。★毛泽东《在扩大的中央工作会议上的讲话》,百废俱举,霸王别姬,暴戾恣睢,别来无恙,B,释义：姬指西楚霸王项羽的宠妾虞姬。形容英雄末路的悲壮情景。现多比喻独断专行，脱离群众，最终垮台。。原始资料成语：霸王别姬。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-134
风风雨雨又春穷，______已眼空。★宋·杨万里《又和风雨二首》,百废俱兴,暴腮龙门,白白朱朱,别无长物,C,释义：白的白，红的红。形容不同种类、色彩各异的花木。。原始资料成语：白白朱朱。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-135
为臣子莫贵忠和孝，继美于今有凤毛，______何足较。★《群音类选》,百感交集,暴殄天物,别有洞天,白璧青蝇,D,释义：白璧洁白的玉，比喻清白的人。青蝇比喻佞人。比喻善恶忠佞。。原始资料成语：白璧青蝇。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-136
明珠暗投反按剑，______还遭刖。★明·何景明《田子行》,白璧三献,百花齐放,暴跳如雷,别有肺肠,A,释义：楚人和氏得玉璞，两献楚王，两遭刖足。第三次王使治璞，得白玉，琢以为璧，世称和氏璧”。比喻不识良材或怀才不遇。。原始资料成语：白璧三献。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-137
智者千虑，必有一失，然而这小毛病只是______而已。,百喙莫辩,白璧微瑕,暴衣露盖,别有风味,B,释义：洁白的玉上有些羞点。比喻很好的人或物有些小缺点，美中不足。。原始资料成语：白璧微瑕。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-138
虽以小姐______，何畏乎青蝇，然青蝇日集亦可憎恨耳。★明·名教中人《好俅传》第七回,百喙难辞,暴衣露冠,白璧无瑕,别有天地,C,释义：洁白的美玉上面没有一点羞。比喻人或事物完美无缺。。原始资料成语：白璧无瑕。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-139
牧羊驱马虽戎服，______尽汉臣。★唐·杜牧《河湟》诗,百家争鸣,暴躁如雷,宾至如归,白发丹心,D,释义：丹心赤诚之心。形容年迈苍老，仍然怀有一颗赤诚之心。。原始资料成语：白发丹心。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-140
凡此诸人，今皆安往？我虽独存，______。★宋·刘克庄《后村全集·祭林寒斋文》第一百三十八卷,白发千丈,百孔千疮,卑辞重币,彬彬有礼,A,释义：形容头发既白且长，表示人因愁思过重而容颜衰老。。原始资料成语：白发千丈。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-141
也不过______，并非晚节不终。★鲁迅《且介亭杂文末编·关于太炎先生二三事》,百口莫辩,白圭之玷,卑宫菲食,鬓乱钗横,B,释义：白玉圭上的一个斑点。比喻人或物大体很好，只是有些小缺点。。原始资料成语：白圭之玷。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-142
且休说______，青龙藏池。★元·王实甫《丽春堂》第二折,百了千当,卑躬屈节,白虹贯日,冰寒于水,C,释义：白色的长虹穿日而过。古人认为人间有不平凡的事，就会引起这种天象的变化。实际上这不是虹而是晕，是一种大气光学现象。。原始资料成语：白虹贯日。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-143
______，日月穿梭，才见梅开腊底，又早天气回阳。★明·兰陵笑笑生《金瓶梅词话》第二回,百里挑一,卑躬屈膝,冰壶秋月,白驹过隙,D,释义：白驹白色骏马，比喻太阳；隙缝隙。象凶马在细小的缝隙前跑过一样。形容时间过得极快。。原始资料成语：白驹过隙。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-144
相公______，隐姓潜名。倘或途中小辈不识高低，有毁相公者，何以处之？★明·冯梦龙《警世通言》卷四,白龙鱼服,百炼成刚,卑礼厚币,冰魂雪魄,A,释义：鱼服穿起鱼的外衣。白龙化为鱼在渊中游。比喻帝王或大官吏隐藏身分，改装出行。。原始资料成语：白龙鱼服。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-145
雪儿呵，偏则把______奚落。★明·汤显祖《牡丹亭》第二十二出,百年大计,白面书生,杯弓蛇影,冰肌玉骨,B,释义：指缺乏阅历经验的读书人。也指面孔白净的读书人。。原始资料成语：白面书生。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-146
左壁挂‘黄鹤楼______’，右壁悬‘洞庭湖三番渡过’。★明·兰陵笑笑生《金瓶梅词话》第三九回,百年树人,杯盘狼藉,白日飞升,冰清玉洁,C,释义：犹白日升天。道教谓人修炼得道后，白昼飞升天界成仙◇喻指一朝显贵。。原始资料成语：白日飞升。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-147
八戒道哥啊，我们连日造化低了。这两日______！那个化风去的老儿是谁？”★明·吴承恩《西游记》第二十一回,百鸟朝凤,杯盘狼籍,冰清玉润,白日见鬼,D,释义：大白天看见鬼。指工部四曹无事可做，非常清闲◇泛指事情离奇古怪或无中生有。。原始资料成语：白日见鬼。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-148
遂去，悉度其妻妾，于是金氏门中两代______。”★鲁迅《中国文学史略》第二十六篇,白日升天,百身何赎,杯水车薪,冰山易倒,A,释义：原是道教指白昼升天成为神仙◇比喻一下子富贵起来。。原始资料成语：白日升天。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-149
鲁迅先生对于白色恐怖毫不畏惧，一直把密信和文稿珍藏着，最恰当的成语是______。,百身莫赎,白色恐怖,杯中蛇影,冰消瓦解,B,释义：白惨白。指反动派残酷镇压人民的恐怖气氛。。原始资料成语：白色恐怖。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-150
你看，他发了多少财，______，靠的是谁？如今也忘了水源头了，墙上的草，两边倒着呢。★丁玲《太阳照在桑干河上》,百世之师,悲不自胜,白手起家,兵不血刃,C,释义：白手空手；起家创建家业。形容在没有基础和条件很差的情况下自力更生，艰苦创业。。原始资料成语：白手起家。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-151
兹予绩服之初，日思讲议之益，谓______之乐，尚可推以与人。★宋·苏辙《范镇可侍读太一宫使告词》,百兽率舞,悲欢离合,兵不厌诈,白首穷经,D,释义：直至年纪老了还在钻研经籍，犹言活到老，学到老。。原始资料成语：白首穷经。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-152
当君______日，是我青山独往时。★唐·白居易《九年十一月十一日感事而作》诗,白首同归,百岁千秋,悲天悯人,兵车之会,A,释义：归归向、归宿。一直到头发白了，志趣依然相投。形容友谊长久，始终不渝◇用以表示都是老人而同时去世。。原始资料成语：白首同归。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-153
城乡内外，红男绿女，______，联袂往观者，何止千万人！★清·壮者《扫迷帚》第九回,百无禁忌,白叟黄童,北门锁钥,兵出无名,B,释义：白头发的老人和黄头发的孩子。泛指老老少少。。原始资料成语：白叟黄童。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-154
周炳一面说‘我的时运太低，______！’说罢回身想走。★欧阳山《苦斗》十二,百无聊赖,北辕适楚,白天见鬼,兵戈扰攘,C,释义：比喻虚妄荒诞，不可能出现的事。同白日见鬼”。。原始资料成语：白天见鬼。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-155
而八年之间，语言不接，吉凶不相问吊，反有______之嫌。★宋·陈亮《与应仲书》,百无是处,北辙南辕,兵荒马乱,白头如新,D,释义：白头头发白了；新新交。指交朋友彼此不能了解，时间虽久，仍跟刚认识一样。。原始资料成语：白头如新。,进阶,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-156
我原说过，她不会跟你______的。★巴金《寒夜》,白头偕老,百无一是,背碑覆局,兵精粮足,A,释义：白头头发白；偕共同。夫妻相亲相爱，一直到老。。原始资料成语：白头偕老。,基础,开源成语资料改编原创训练题,https://github.com/crazywhalecc/idiom-database/blob/master/data/idiom.json；依据原始释义和例句改编，非官方真题,curated,自动二审通过，待人工终审,自动二审仅覆盖字段、重复项和选项唯一性；请人工核对语义、例句和干扰项。,question-157
